iter	Passed	Remaining
0	0	862
1	1	748
2	2	714
3	2	678
4	3	667
5	3	653
6	4	652
7	5	659
8	5	656
9	6	647
10	7	646
11	7	643
12	8	645
13	9	641
14	9	642
15	10	638
16	11	637
17	11	631
18	12	628
19	12	626
20	13	624
21	14	623
22	14	627
23	15	627
24	16	626
25	16	625
26	17	624
27	17	621
28	18	619
29	19	616
30	19	613
31	20	616
32	21	616
33	21	614
34	22	612
35	22	613
36	23	613
37	24	615
38	25	617
39	25	616
40	26	617
41	27	616
42	27	616
43	28	616
44	29	616
45	29	616
46	30	617
47	31	615
48	31	615
49	32	614
50	32	613
51	33	613
52	34	613
53	35	614
54	35	615
55	36	614
56	37	614
57	37	612
58	38	611
59	38	609
60	39	608
61	40	608
62	40	607
63	41	605
64	41	603
65	42	602
66	43	601
67	43	600
68	44	599
69	45	599
70	45	597
71	46	597
72	46	596
73	47	595
74	48	594
75	48	592
76	49	591
77	49	589
78	50	589
79	51	588
80	51	586
81	52	585
82	52	581
83	53	580
84	53	579
85	54	579
86	55	579
87	55	578
88	56	578
89	57	577
90	57	577
91	58	576
92	59	575
93	59	574
94	60	574
95	60	573
96	61	573
97	62	571
98	62	570
99	63	568
100	63	568
101	64	567
102	65	567
103	65	565
104	66	564
105	66	562
106	67	561
107	67	560
108	68	560
109	69	559
110	69	557
111	70	556
112	70	554
113	71	553
114	71	552
115	72	551
116	72	549
117	73	547
118	73	547
119	74	546
120	75	545
121	75	543
122	76	542
123	76	542
124	77	541
125	77	540
126	78	539
127	79	538
128	79	537
129	80	536
130	80	535
131	81	534
132	81	533
133	82	532
134	82	531
135	83	530
136	84	529
137	84	528
138	85	527
139	85	526
140	86	525
141	86	523
142	87	522
143	87	521
144	88	520
145	88	519
146	89	517
147	89	517
148	90	516
149	91	517
150	91	516
151	92	515
152	92	514
153	93	513
154	93	512
155	94	511
156	95	510
157	95	508
158	96	507
159	96	506
160	96	504
161	97	504
162	97	503
163	98	501
164	99	501
165	99	500
166	100	499
167	100	498
168	101	497
169	101	496
170	102	495
171	102	494
172	103	493
173	103	492
174	104	491
175	104	490
176	105	490
177	106	489
178	106	489
179	107	488
180	107	487
181	108	486
182	108	485
183	109	485
184	109	484
185	110	483
186	111	482
187	111	482
188	112	481
189	112	480
190	113	479
191	113	478
192	114	477
193	114	477
194	115	476
195	115	475
196	116	474
197	117	474
198	117	473
199	118	472
200	118	472
201	119	473
202	120	472
203	121	472
204	121	473
205	122	472
206	123	472
207	123	472
208	124	471
209	125	471
210	125	471
211	126	470
212	127	469
213	127	469
214	128	468
215	129	468
216	129	468
217	130	467
218	130	466
219	131	465
220	131	465
221	132	464
222	133	464
223	133	463
224	134	462
225	134	462
226	135	461
227	136	461
228	136	460
229	137	459
230	137	458
231	138	458
232	138	457
233	139	456
234	140	455
235	140	455
236	141	454
237	141	453
238	142	452
239	142	451
240	143	450
241	143	450
242	144	449
243	144	449
244	145	448
245	146	447
246	146	447
247	147	447
248	148	446
249	148	445
250	149	445
251	149	444
252	150	443
253	150	442
254	151	442
255	152	442
256	152	441
257	153	440
258	153	440
259	154	439
260	155	438
261	155	438
262	156	437
263	156	436
264	157	435
265	157	435
266	158	434
267	158	433
268	159	432
269	159	432
270	160	431
271	160	430
272	161	430
273	162	429
274	162	428
275	163	428
276	163	427
277	164	426
278	164	425
279	165	425
280	165	424
281	166	424
282	167	423
283	167	422
284	168	421
285	168	421
286	169	420
287	169	419
288	170	419
289	170	418
290	171	417
291	172	417
292	172	416
293	173	415
294	173	415
295	174	414
296	174	413
297	175	413
298	175	412
299	176	411
300	177	411
301	177	410
302	178	410
303	178	409
304	179	408
305	180	408
306	180	407
307	181	407
308	181	406
309	182	406
310	183	405
311	183	404
312	184	403
313	184	403
314	185	402
315	185	402
316	186	401
317	186	400
318	187	400
319	187	399
320	188	398
321	188	397
322	189	397
323	190	396
324	190	395
325	191	395
326	191	395
327	192	394
328	193	393
329	193	392
330	194	392
331	194	391
332	195	390
333	195	390
334	196	389
335	196	389
336	197	388
337	198	387
338	198	387
339	199	386
340	199	385
341	200	385
342	200	384
343	201	383
344	201	383
345	202	382
346	202	381
347	203	381
348	204	380
349	204	379
350	205	379
351	205	378
352	206	377
353	206	377
354	207	376
355	207	375
356	208	375
357	208	374
358	209	373
359	209	373
360	210	372
361	210	371
362	211	371
363	212	370
364	212	370
365	213	369
366	213	368
367	214	368
368	214	367
369	215	366
370	215	366
371	216	365
372	216	364
373	217	364
374	217	363
375	218	362
376	219	362
377	219	361
378	220	360
379	220	360
380	221	359
381	221	358
382	222	358
383	222	357
384	223	356
385	223	356
386	224	355
387	224	354
388	225	354
389	226	353
390	226	352
391	227	352
392	227	351
393	228	351
394	228	350
395	229	349
396	229	349
397	230	348
398	230	347
399	231	347
400	232	346
401	232	346
402	233	345
403	233	344
404	234	344
405	234	343
406	235	342
407	235	342
408	236	341
409	236	340
410	237	340
411	238	339
412	238	339
413	239	338
414	239	337
415	240	337
416	240	336
417	241	335
418	241	335
419	242	334
420	243	334
421	243	333
422	244	333
423	244	332
424	245	332
425	245	331
426	246	330
427	246	330
428	247	329
429	248	328
430	248	328
431	249	327
432	249	327
433	250	326
434	250	325
435	251	325
436	252	324
437	252	324
438	253	323
439	253	322
440	254	322
441	254	321
442	255	321
443	255	320
444	256	319
445	256	319
446	257	318
447	258	318
448	258	317
449	259	316
450	259	316
451	260	315
452	260	314
453	261	314
454	261	313
455	262	313
456	263	312
457	263	312
458	264	311
459	264	310
460	265	310
461	265	309
462	266	309
463	267	308
464	267	307
465	268	307
466	268	306
467	269	305
468	269	305
469	270	304
470	270	304
