iter	Passed	Remaining
0	0	87
1	1	79
2	2	74
3	2	69
4	3	68
5	4	68
6	5	69
7	5	68
8	6	68
9	7	68
10	8	67
11	9	66
12	9	65
13	10	64
14	11	63
15	12	63
16	12	62
17	13	61
18	14	60
19	14	59
20	15	59
21	16	58
22	17	57
23	17	56
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	22	52
30	23	51
31	24	51
32	24	50
33	25	49
34	26	49
35	27	48
36	28	47
37	28	46
38	29	46
39	30	45
40	31	44
41	31	43
42	32	42
43	32	41
44	33	40
45	34	40
46	34	39
47	35	38
48	36	37
49	37	37
50	37	36
51	38	35
52	39	34
53	40	34
54	40	33
55	41	32
56	41	31
57	42	30
58	43	30
59	44	29
60	44	28
61	45	27
62	45	26
63	46	25
64	46	25
65	47	24
66	47	23
67	48	22
68	48	21
69	49	21
70	49	20
71	50	19
72	50	18
73	51	18
74	51	17
75	52	16
76	52	15
77	53	15
78	54	14
79	54	13
80	55	12
81	55	12
82	56	11
83	56	10
84	57	10
85	58	9
86	58	8
87	59	8
88	59	7
89	60	6
90	60	6
91	61	5
92	61	4
93	62	3
94	63	3
95	63	2
96	64	1
97	64	1
98	65	0
99	65	0
